着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,race_id,race_name
2,8,10,マイネルクリソーラ,牡4,57,Ｍ．デム,2:01.0,ハナ,2.9,1.0,462(+4),[東] 中野栄治,202305010212,4歳以上2勝クラス
3,6,7,ボーンディスウェイ,牡4,57,石橋脩,2:01.4,2.1/2,3.0,2.0,494(0),[東] 牧光二,202305010212,4歳以上2勝クラス
4,7,8,ミズリーナ,牝6,56,的場勇人,2:01.5,3/4,139.7,11.0,494(+8),[東] 的場均,202305010212,4歳以上2勝クラス
5,7,9,キャルレイ,牡4,57,横山武史,2:01.8,1.1/2,7.2,5.0,484(0),[東] 鹿戸雄一,202305010212,4歳以上2勝クラス
6,5,5,セラフィナイト,牡5,58,坂井瑠星,2:01.9,1/2,5.8,4.0,458(+4),[東] 宮田敬介,202305010212,4歳以上2勝クラス
7,8,11,ポッドヴァイン,牡4,57,横山和生,2:01.9,クビ,33.9,6.0,416(-4),[東] 小野次郎,202305010212,4歳以上2勝クラス
8,1,1,ナックイルシーブ,牡5,58,木幡巧也,2:02.3,2.1/2,93.5,7.0,530(-6),[東] 杉浦宏昭,202305010212,4歳以上2勝クラス
9,6,6,タケルジャック,牡5,56,山田敬士,2:02.3,アタマ,130.0,9.0,484(+14),[東] 小桧山悟,202305010212,4歳以上2勝クラス
10,2,2,アトラクティーボ,牡4,57,武藤雅,2:02.4,3/4,99.8,8.0,532(-4),[東] 武藤善則,202305010212,4歳以上2勝クラス
11,3,3,エクセレントラン,セ6,55,西塚洸二,2:02.9,3,137.2,10.0,484(+2),[東] 大江原哲,202305010212,4歳以上2勝クラス
